"pid","popgrp","mar","rel","geo2011","ppincome","hhsizer","age","anni_convivenza","anni_istruzione"
311196,1,1,2,2,506.356231689453,4,39,7,12
311194,1,1,2,2,506.356231689453,4,39,7,12
314129,1,1,2,1,235,10,55,30,8
314176,1,1,2,1,235,10,54,31,8
318951,1,1,2,1,429.573699951172,2,61,40,10
616798,4,1,2,2,14000,3,50,28,16
391119,4,1,2,2,7712.134765625,2,91,60,8
391120,4,1,2,2,7712.134765625,2,81,60,12
696472,4,1,2,2,1933.33333333333,3,38,3,12
792365,1,2,2,3,440,3,25,2,6
715570,1,2,2,3,440,3,23,2,9
308425,1,1,2,2,3985.71428571429,7,54,32,9.5
322543,2,1,2,2,1933.32421875,2,60,35,4
305288,2,1,2,2,1933.32421875,2,73,35,6
307737,1,2,2,1,599.076253255208,6,40,22,8
314386,1,2,2,2,4428.81298828125,4,54,4,10
747775,1,2,2,2,4428.81298828125,4,39,5,12.5
301102,1,1,2,2,2487.337890625,3,55,33,11
501197,2,1,2,2,2487.337890625,3,59,33,8
771692,1,2,2,3,847.8279296875,5,41,6,6
581757,1,2,2,3,847.8279296875,5,45,6,0
324339,2,1,2,2,540,6,47,17,8
320853,2,1,2,2,540,6,65,17,5
310169,1,1,2,1,488.19873046875,5,41,16,7
308684,1,1,2,1,488.19873046875,5,55,16,9
409509,1,1,6,2,1233.33333333333,3,24,8,12
312501,1,1,2,1,1777.1005859375,6,63,40,6
312199,1,1,1,1,1777.1005859375,6,63,40,5
304958,1,1,2,2,2111.09765625,5,32,1,11
730634,2,1,2,3,3084.65649414062,4,34,6,10
312092,2,1,2,3,3084.65649414062,4,34,6,12
771491,2,1,2,2,7000,3,33,1,12
324451,2,1,2,2,7000,3,37,1,13.5
741126,1,2,2,2,7006.37451171875,4,31,17,12
311110,1,2,1,2,7006.37451171875,4,37,17,9.5
735793,2,1,2,2,414.285714285714,7,28,1,10
321531,2,1,2,2,414.285714285714,7,30,1,10
784057,1,1,2,2,1357.14285714286,7,38,9,12.5
323080,4,1,2,2,3610,2,71,22,12
323079,4,1,2,2,3610,2,71,22,10
321363,4,1,2,2,3987.5,4,37,9,9.5
321362,4,1,2,2,3987.5,4,34,9,12
752864,1,1,2,1,381.73125,5,44,18,7
793018,1,1,2,1,381.73125,5,58,18,6
302036,1,1,2,2,1280,2,66,33,8
302074,1,1,2,2,1280,2,71,33,6
306532,1,1,2,2,3116.66666666667,3,47,22,10
306520,1,1,2,2,3116.66666666667,3,59,22,10
792113,4,2,2,2,17400,2,21,3,8
323305,2,1,2,2,1335.86637369792,3,59,33,5
323304,2,1,2,2,1335.86637369792,3,58,33,5
307345,1,2,2,2,2100,2,61,20,8
790891,1,2,1,2,2100,2,66,20,7
315707,1,2,2,1,490,5,31,1,11
734561,1,1,2,2,1741.01831054688,2,63,23,0
312461,1,2,2,1,658.898646763393,7,55,32,6
412090,2,2,2,3,705,8,18,1,8
323644,2,1,1,3,705,8,38,13,6
785961,2,2,2,3,705,8,20,1,10
322728,2,1,1,3,705,8,40,13,10
736767,1,2,2,3,1186.66666666667,3,40,2,6
406644,1,2,2,3,1186.66666666667,3,25,2,8
322529,2,1,2,2,5121.7734375,4,49,15,9.5
306821,2,1,2,2,5121.7734375,4,46,15,12
306041,1,2,2,2,843.333333333333,3,34,15,5
781417,1,2,2,2,843.333333333333,3,51,15,11
311817,1,2,2,3,7300,1,42,1,9.5
321549,2,1,2,2,919.222222222222,9,67,35,0
321543,2,1,2,2,919.222222222222,9,58,35,4
304915,2,2,2,2,502.747509765625,5,32,10,6
714927,2,2,2,2,502.747509765625,5,26,10,7
720013,1,1,2,1,461.055053710938,12,49,30,0
306813,1,1,2,2,2100,5,47,22,10
324025,1,1,2,2,2100,5,50,22,9.5
309109,1,1,2,1,969.79931640625,4,78,50,0
309134,1,1,2,1,969.79931640625,4,65,50,6
501620,1,2,6,2,3015,2,33,3,10
784947,1,2,6,2,3015,2,28,3,12
301937,1,2,1,1,987.5,2,53,13,8
301936,1,2,2,1,987.5,2,49,16,10
763397,1,1,2,2,1309.43090820312,3,66,32,0
304541,1,1,2,2,1309.43090820312,3,69,32,0
725499,1,1,2,1,1533.33333333333,3,83,55,8
725498,1,1,2,1,1533.33333333333,3,77,55,8
